list_position,date,category,title,video_id,url,duration_min,view_count
148,2025-08-17,Sandhyavandana Online,Sandhyaonline -17th August 2025,ZIEGQiINJcw,https://www.youtube.com/watch?v=ZIEGQiINJcw,100.1,504
150,2025-08-03,Sandhyavandana Online,Sandhyavandana-ONLINE-Kannada-3rd Aug 2025,yUnSVjNTGlE,https://www.youtube.com/watch?v=yUnSVjNTGlE,110.0,501
158,2025-07-20,Sandhyavandana Online,Sandhyavandana-ONLINE- kannada-day2-20thJuly2025,dA0jeaxVFkw,https://www.youtube.com/watch?v=dA0jeaxVFkw,104.9,1600
172,2025-01-05,Sandhyavandana Online,Sandhyaonline 5th Jan 2025,yD2g0eaGojI,https://www.youtube.com/watch?v=yD2g0eaGojI,105.5,226
173,2024-12-29,Sandhyavandana Online,sandhyaonline 29th Dec 2024,OO4_u5cyB9s,https://www.youtube.com/watch?v=OO4_u5cyB9s,84.0,158
174,2024-12-15,Sandhyavandana Online,Sandhyaonline 15th Dec,pDOsgnL1sqc,https://www.youtube.com/watch?v=pDOsgnL1sqc,104.5,100
175,2024-12-08,Sandhyavandana Online,sandhyaonline 8th Dec 2024,2rqWFPNo3o4,https://www.youtube.com/watch?v=2rqWFPNo3o4,78.6,137
176,2024-12-01,Sandhyavandana Online,Sandhyaonline 1st Dec 2024,UyOb9D1ubIY,https://www.youtube.com/watch?v=UyOb9D1ubIY,77.1,917
177,2024-11-24,Sandhyavandana Online,Sandhyaonline 24th Nov,dzBqdBf-dEY,https://www.youtube.com/watch?v=dzBqdBf-dEY,73.7,113
178,2024-11-17,Sandhyavandana Online,SandhyaOnline 17th Nov,ZArZUFSNhaU,https://www.youtube.com/watch?v=ZArZUFSNhaU,78.9,101
179,2024-11-03,Sandhyavandana Online,sandhyaonline 3rd Nov,4DMautED52c,https://www.youtube.com/watch?v=4DMautED52c,80.5,104
180,2024-10,Sandhyavandana Online,Sandhyavandana Online Oct 2024,UKSWDE-dpSE,https://www.youtube.com/watch?v=UKSWDE-dpSE,87.7,268
181,2024-10,Sandhyavandana Online,Sandhyavandana online Oct 2024 -,BLF9TaukiFs,https://www.youtube.com/watch?v=BLF9TaukiFs,1.4,63
